City,Temperature,Feels_Like_F,Humidity_,Weather_Condition,Wind_Speed_mph,Timestamp
Seattle,36.37,31.44,77,broken clouds,5.99,2025-02-04 20:30:05.626027
Los Angeles,57.47,56.68,80,overcast clouds,11.5,2025-02-04 20:30:05.626027
Las Vegas,70.52,68.36,23,clear sky,10.36,2025-02-04 20:30:05.626027
Fort Worth,51.91,50.32,75,overcast clouds,8.05,2025-02-04 20:30:05.626027
Miami,72.36,73.24,84,clear sky,8.05,2025-02-04 20:30:05.626027
Nashville,50.65,49.12,79,overcast clouds,5.75,2025-02-04 20:30:05.626027
New York,34.21,22.69,51,broken clouds,20.71,2025-02-04 20:30:05.626027
Seattle,35.6,27.52,90,overcast clouds,11.5,2025-02-05 20:30:10.347191
Los Angeles,58.77,58.77,94,mist,9.22,2025-02-05 20:30:10.347191
Las Vegas,67.87,66.06,36,clear sky,12.66,2025-02-05 20:30:10.347191
Fort Worth,69.48,69.93,81,clear sky,14.97,2025-02-05 20:30:10.347191
Miami,72.66,73.53,83,scattered clouds,9.22,2025-02-05 20:30:10.347191
Nashville,61.52,61.41,86,mist,4.61,2025-02-05 20:30:10.347191
New York,32.02,26.46,47,clear sky,5.75,2025-02-05 20:30:10.347191
Seattle,36.77,29.19,77,broken clouds,11.01,2025-02-07 21:40:09.928141
Los Angeles,55.02,54.36,88,clear sky,6.91,2025-02-07 21:40:09.928141
Las Vegas,66.43,63.63,18,clear sky,28.77,2025-02-07 21:40:09.928141
Fort Worth,70.29,70.63,77,clear sky,14.97,2025-02-07 21:40:09.928141
Miami,72.73,73.62,83,few clouds,10.36,2025-02-07 21:40:09.928141
Nashville,50.13,47.23,51,overcast clouds,5.75,2025-02-07 21:40:09.928141
New York,30.74,23.27,40,clear sky,8.05,2025-02-07 21:40:09.928141
Seattle,37.26,37.26,88,overcast clouds,1.99,2025-02-08 20:30:05.701638
Los Angeles,56.39,55.54,81,clear sky,8.05,2025-02-08 20:30:05.701638
Las Vegas,57.07,53.28,17,clear sky,5.75,2025-02-08 20:30:05.701638
Fort Worth,52.32,50.22,63,clear sky,19.57,2025-02-08 20:30:05.701638
Miami,73.18,74.19,85,few clouds,8.05,2025-02-08 20:30:05.701638
Nashville,61.81,61.63,84,overcast clouds,17.27,2025-02-08 20:30:05.701638
New York,30.69,23.22,87,snow,8.05,2025-02-08 20:30:05.701638
Seattle,31.41,25.72,88,overcast clouds,5.75,2025-02-10 07:48:20.379410
Los Angeles,47.97,46.08,87,clear sky,4.61,2025-02-10 07:48:20.379410
Las Vegas,45.66,43.39,28,few clouds,4.61,2025-02-10 07:48:20.379410
Fort Worth,42.15,37.18,94,mist,8.05,2025-02-10 07:48:20.379410
Miami,72.39,73.62,91,few clouds,0.0,2025-02-10 07:48:20.379410
Nashville,32.43,24.67,85,scattered clouds,9.22,2025-02-10 07:48:20.379410
New York,32.04,23.59,56,overcast clouds,10.36,2025-02-10 07:48:20.379410
Seattle,31.37,26.71,89,overcast clouds,4.61,2025-02-10 09:57:27.867399
Los Angeles,50.38,49.21,87,scattered clouds,4.61,2025-02-10 09:57:27.867399
Las Vegas,45.07,42.71,24,clear sky,4.61,2025-02-10 09:57:27.867399
Fort Worth,41.94,38.23,90,mist,5.75,2025-02-10 09:57:27.867399
Miami,80.53,84.42,74,broken clouds,8.05,2025-02-10 09:57:27.867399
Nashville,37.83,31.32,74,broken clouds,9.22,2025-02-10 09:57:27.867399
New York,34.21,24.85,53,clear sky,13.8,2025-02-10 09:57:27.867399
Seattle,31.37,26.71,89,overcast clouds,4.61,2025-02-10 10:00:40.993736
Los Angeles,50.38,49.21,87,scattered clouds,4.61,2025-02-10 10:00:40.993736
Las Vegas,45.14,42.78,23,clear sky,4.61,2025-02-10 10:00:40.993736
Fort Worth,41.92,35.87,90,mist,10.36,2025-02-10 10:00:40.993736
Miami,80.53,84.42,74,broken clouds,8.05,2025-02-10 10:00:40.993736
Nashville,38.23,31.8,73,broken clouds,9.22,2025-02-10 10:00:40.993736
New York,34.21,24.85,53,clear sky,13.8,2025-02-10 10:00:40.993736
Seattle,31.44,28.69,89,overcast clouds,3.0,2025-02-10 10:19:27.676732
Los Angeles,51.26,50.13,86,few clouds,3.44,2025-02-10 10:19:27.676732
Las Vegas,47.46,46.4,22,clear sky,3.44,2025-02-10 10:19:27.676732
Fort Worth,42.04,36.52,90,mist,9.22,2025-02-10 10:19:27.676732
Miami,80.92,84.83,72,broken clouds,9.22,2025-02-10 10:19:27.676732
Nashville,40.21,33.75,69,clear sky,10.36,2025-02-10 10:19:27.676732
New York,34.45,24.35,53,snow,16.11,2025-02-10 10:19:27.676732
